대륙별+국가별,성별,under_10,g10,g20,g30,g40,g50,g60,over_70,대륙
모리셔스,여    ,1,0,3,5,0,0,1,0,아프리카
짐바브웨,남    ,0,10,8,7,8,4,10,6,아프리카
짐바브웨,여    ,6,4,1,5,9,5,3,0,아프리카
코트디부아르,남    ,2,2,5,7,10,2,2,0,아프리카
코트디부아르,여    ,3,1,0,3,2,3,0,0,아프리카
콩고,남    ,3,1,5,10,19,11,1,0,아프리카
콩고,여    ,0,0,6,5,0,1,1,0,아프리카
세네갈,남    ,3,3,2,10,6,3,2,0,아프리카
세네갈,여    ,1,3,10,6,1,0,0,1,아프리카
베냉,남    ,1,0,1,0,0,0,0,0,아프리카
베냉,여    ,0,3,2,1,0,0,0,0,아프리카
기니,남    ,0,0,3,11,15,4,0,1,아프리카
기니,여    ,0,0,0,1,0,0,0,0,아프리카
가봉,남    ,1,2,1,5,4,2,0,0,아프리카
가봉,여    ,1,0,1,0,1,0,0,0,아프리카
콩고민주공화국,남    ,0,2,1,4,4,3,1,0,아프리카
콩고민주공화국,여    ,0,1,3,0,4,0,1,0,아프리카
라이베리아,남    ,0,0,3,7,5,1,0,0,아프리카
라이베리아,여    ,0,0,1,1,2,1,1,0,아프리카
카보베르데,남    ,0,0,0,1,0,0,0,0,아프리카
카보베르데,여    ,0,0,0,0,0,0,0,0,아프리카
잠비아,남    ,1,2,8,9,30,8,10,0,아프리카
잠비아,여    ,1,2,4,4,6,4,3,0,아프리카
말리,남    ,2,0,5,6,4,3,0,0,아프리카
말리,여    ,1,0,7,3,0,1,0,0,아프리카
세이셸,남    ,0,0,0,0,0,1,0,0,아프리카
마다가스카르,남    ,2,2,3,8,8,4,4,0,아프리카
마다가스카르,여    ,0,2,4,1,5,3,2,0,아프리카
스와질란드,남    ,0,0,0,0,4,0,0,0,아프리카
스와질란드,여    ,0,2,1,1,0,0,0,0,아프리카
시에라리온,남    ,0,0,0,1,6,0,0,0,아프리카
시에라리온,여    ,0,0,0,0,0,0,0,0,아프리카
토고,남    ,1,0,6,5,2,0,1,0,아프리카
토고,여    ,1,2,7,1,0,0,0,0,아프리카
르완다,남    ,1,2,12,26,37,7,1,0,아프리카
르완다,여    ,1,2,2,0,6,1,1,0,아프리카
