"","date","place","CO2","O3","CO","SO2","TinyDust","MicroDust","Year","Month","Day","date2"
"230",20170518,"은평구",0.034,0.048,0.5,0.008,52,28,"2017","05","18",2017-05-18
"231",20170518,"마포구",0.04,0.042,0.5,0.006,47,29,"2017","05","18",2017-05-18
"232",20170518,"영등포구",0.039,0.049,0.7,0.005,56,24,"2017","05","18",2017-05-18
"233",20170518,"종로",0.05,0.036,0.4,0.006,46,29,"2017","05","18",2017-05-18
"234",20170518,"홍릉로",0.057,0.03,0.6,0.006,53,30,"2017","05","18",2017-05-18
"235",20170517,"신촌로",0.069,0.012,0.8,0.006,47,27,"2017","05","17",2017-05-17
"236",20170517,"금천구",0.04,0.037,0.4,0.006,44,20,"2017","05","17",2017-05-17
"237",20170517,"도산대로",0.053,0.009,0.7,0.006,40,19,"2017","05","17",2017-05-17
"238",20170517,"영등포로",0.061,0.014,0.5,0.007,57,NA,"2017","05","17",2017-05-17
"239",20170517,"강변북로",0.057,0.015,0.5,0.005,47,NA,"2017","05","17",2017-05-17
"240",20170517,"용산구",0.035,0.02,0.3,0.004,33,19,"2017","05","17",2017-05-17
"241",20170517,"공항대로",0.052,0.02,0.5,0.007,62,30,"2017","05","17",2017-05-17
"242",20170517,"한강대로",0.051,0.024,0.5,0.006,54,NA,"2017","05","17",2017-05-17
"243",20170517,"서초구",0.035,0.034,0.5,0.006,41,18,"2017","05","17",2017-05-17
"244",20170517,"서대문구",0.034,0.031,0.5,0.009,42,20,"2017","05","17",2017-05-17
"245",20170517,"종로구",0.037,0.034,0.5,0.005,33,16,"2017","05","17",2017-05-17
"246",20170517,"동작구",0.032,0.041,0.4,0.005,33,20,"2017","05","17",2017-05-17
"247",20170517,"강남대로",0.069,0.016,0.6,0.006,50,NA,"2017","05","17",2017-05-17
"248",20170517,"중구",0.037,0.033,0.4,0.005,31,16,"2017","05","17",2017-05-17
"249",20170517,"중랑구",0.032,0.032,0.3,0.006,40,20,"2017","05","17",2017-05-17
"250",20170517,"강북구",0.02,0.045,0.4,0.003,24,13,"2017","05","17",2017-05-17
"251",20170517,"정릉로",0.038,0.033,0.5,0.007,39,14,"2017","05","17",2017-05-17
"252",20170517,"동대문구",0.035,0.025,0.4,0.006,33,15,"2017","05","17",2017-05-17
"253",20170517,"종로",0.041,0.027,0.4,0.005,37,23,"2017","05","17",2017-05-17
"254",20170517,"동작대로",0.062,0.018,0.6,0.007,50,NA,"2017","05","17",2017-05-17
"255",20170517,"강동구",0.037,0.029,0.5,0.004,43,14,"2017","05","17",2017-05-17
"256",20170517,"은평구",0.024,0.048,0.4,0.009,49,23,"2017","05","17",2017-05-17
"257",20170517,"강서구",0.034,0.039,0.3,0.009,45,19,"2017","05","17",2017-05-17
"258",20170517,"화랑로",0.043,0.023,0.5,0.004,41,NA,"2017","05","17",2017-05-17
"259",20170517,"도봉구",0.022,0.038,0.4,0.004,35,15,"2017","05","17",2017-05-17
